split,sample_id,label,label_id
train,TCGA-3M-AB47,GS,2
train,TCGA-B7-A5TI,MSI,3
train,TCGA-B7-A5TJ,CIN,0
train,TCGA-B7-A5TK,EBV,1
train,TCGA-B7-A5TN,CIN,0
train,TCGA-BR-4187,GS,2
train,TCGA-BR-4191,CIN,0
train,TCGA-BR-4201,MSI,3
train,TCGA-BR-4253,EBV,1
train,TCGA-BR-4267,CIN,0
train,TCGA-BR-4279,GS,2
train,TCGA-BR-4280,MSI,3
train,TCGA-BR-4294,CIN,0
train,TCGA-BR-4366,CIN,0
train,TCGA-BR-4367,CIN,0
train,TCGA-BR-4368,MSI,3
train,TCGA-BR-4370,MSI,3
train,TCGA-BR-4371,GS,2
train,TCGA-BR-6452,MSI,3
train,TCGA-BR-6453,GS,2
train,TCGA-BR-6454,CIN,0
train,TCGA-BR-6455,EBV,1
train,TCGA-BR-6457,GS,2
train,TCGA-BR-6458,CIN,0
train,TCGA-BR-6563,GS,2
train,TCGA-BR-6564,CIN,0
train,TCGA-BR-6565,CIN,0
train,TCGA-BR-6566,MSI,3
train,TCGA-BR-6707,EBV,1
train,TCGA-BR-6710,GS,2
train,TCGA-BR-6801,GS,2
train,TCGA-BR-6803,GS,2
train,TCGA-BR-6852,MSI,3
train,TCGA-BR-7196,EBV,1
train,TCGA-BR-7715,CIN,0
train,TCGA-BR-7716,CIN,0
train,TCGA-BR-7717,CIN,0
train,TCGA-BR-7722,GS,2
train,TCGA-BR-7901,CIN,0
train,TCGA-BR-7957,GS,2
train,TCGA-BR-7959,CIN,0
train,TCGA-BR-8058,GS,2
train,TCGA-BR-8059,MSI,3
train,TCGA-BR-8077,CIN,0
train,TCGA-BR-8080,CIN,0
train,TCGA-BR-8081,MSI,3
train,TCGA-BR-8286,CIN,0
train,TCGA-BR-8291,CIN,0
train,TCGA-BR-8361,MSI,3
train,TCGA-BR-8365,CIN,0
train,TCGA-BR-8366,EBV,1
train,TCGA-BR-8368,MSI,3
train,TCGA-BR-8369,CIN,0
train,TCGA-BR-8372,MSI,3
