fold,cv_role,label_id,label,n_samples
1,train,0,CIN,138
1,train,1,EBV,19
1,train,2,GS,41
1,train,3,MSI,47
1,val,0,CIN,35
1,val,1,EBV,5
1,val,2,GS,11
1,val,3,MSI,11
2,train,0,CIN,138
2,train,1,EBV,20
2,train,2,GS,41
2,train,3,MSI,46
2,val,0,CIN,35
2,val,1,EBV,4
2,val,2,GS,11
2,val,3,MSI,12
3,train,0,CIN,139
3,train,1,EBV,19
3,train,2,GS,42
3,train,3,MSI,46
3,val,0,CIN,34
3,val,1,EBV,5
3,val,2,GS,10
3,val,3,MSI,12
4,train,0,CIN,139
4,train,1,EBV,19
4,train,2,GS,42
4,train,3,MSI,46
4,val,0,CIN,34
4,val,1,EBV,5
4,val,2,GS,10
4,val,3,MSI,12
5,train,0,CIN,138
5,train,1,EBV,19
5,train,2,GS,42
5,train,3,MSI,47
5,val,0,CIN,35
5,val,1,EBV,5
5,val,2,GS,10
5,val,3,MSI,11
