split,sample_id,label,label_id
train,A1-A0SK,Basal,2
train,A1-A0SO,Basal,2
train,A1-A0SQ,LumA,0
train,A2-A04W,Her2,3
train,A2-A0CP,LumA,0
train,A2-A0CS,LumA,0
train,A2-A0CX,Her2,3
train,A2-A0D0,Basal,2
train,A2-A0D2,Basal,2
train,A2-A0D3,LumA,0
train,A2-A0EO,LumA,0
train,A2-A0ES,LumA,0
train,A2-A0EU,LumA,0
train,A2-A0EV,LumA,0
train,A2-A0EX,LumA,0
train,A2-A0ST,Basal,2
train,A2-A0T0,Basal,2
train,A2-A0T1,Her2,3
train,A2-A0T2,Basal,2
train,A2-A0T5,LumA,0
train,A2-A0T7,LumA,0
train,A2-A0YC,LumA,0
train,A2-A0YD,LumA,0
train,A2-A0YE,Basal,2
train,A2-A0YF,LumA,0
train,A2-A0YJ,Basal,2
train,A2-A0YM,Basal,2
train,A2-A0YT,LumB,1
train,A2-A1FW,LumB,1
train,A2-A1FX,LumB,1
train,A2-A1FZ,LumA,0
train,A2-A1G0,LumA,0
train,A2-A1G1,Basal,2
train,A2-A1G4,LumB,1
train,A2-A259,LumA,0
train,A2-A25B,LumB,1
train,A2-A25D,LumA,0
train,A2-A25F,Basal,2
train,A2-A3KC,LumA,0
train,A2-A3KD,LumA,0
train,A7-A0CD,LumA,0
train,A7-A0CG,LumA,0
train,A7-A0CH,LumA,0
train,A7-A0D9,LumA,0
train,A7-A0DA,Basal,2
train,A7-A0DB,LumA,0
train,A7-A0DC,LumA,0
train,A7-A26E,LumA,0
train,A7-A26G,Basal,2
train,A7-A26H,LumA,0
train,A7-A2KD,LumB,1
train,A7-A3IZ,LumA,0
train,A7-A3J1,LumA,0
train,A8-A06P,LumA,0
train,A8-A06Y,LumA,0
train,A8-A07E,LumA,0
train,A8-A07I,Her2,3
train,A8-A07O,Basal,2
train,A8-A07R,Basal,2
train,A8-A083,LumA,0
train,A8-A086,LumA,0
train,A8-A08J,Her2,3
train,A8-A08O,LumA,0
train,A8-A08T,LumA,0
train,A8-A08X,Her2,3
train,A8-A08Z,LumA,0
train,A8-A095,LumB,1
train,A8-A09G,Her2,3
train,A8-A09K,LumA,0
train,A8-A09X,Her2,3
train,A8-A0A4,LumA,0
train,A8-A0A7,Her2,3
train,AC-A23E,LumA,0
train,AC-A2FB,LumA,0
train,AC-A2FF,LumA,0
train,AN-A04D,Basal,2
train,AN-A0AL,Basal,2
train,AN-A0AT,Basal,2
train,AN-A0FJ,Basal,2
train,AN-A0FL,Basal,2
train,AN-A0FS,LumA,0
train,AN-A0FV,Her2,3
train,AN-A0FX,Basal,2
train,AN-A0XN,LumA,0
train,AN-A0XP,LumA,0
train,AN-A0XS,LumA,0
train,AO-A0J5,LumA,0
train,AO-A0J8,LumA,0
train,AO-A0J9,LumA,0
train,AO-A0JE,Her2,3
train,AO-A0JF,LumA,0
train,AO-A0JL,Basal,2
train,AO-A0JM,LumB,1
train,AO-A124,Basal,2
train,AO-A128,Basal,2
train,AO-A129,Basal,2
train,AO-A12A,LumA,0
train,AO-A12C,LumA,0
train,AO-A12D,Her2,3
train,AO-A1KQ,LumB,1
train,AO-A1KR,Basal,2
train,AO-A1KS,LumB,1
train,AR-A0TP,Basal,2
train,AR-A0TU,Basal,2
train,AR-A0U0,Basal,2
train,AR-A0U2,LumB,1
train,AR-A0U4,Basal,2
train,AR-A1AH,Basal,2
train,AR-A1AJ,Basal,2
train,AR-A1AK,LumA,0
train,AR-A1AQ,Basal,2
train,AR-A1AS,LumA,0
train,AR-A1AU,LumA,0
train,AR-A1AY,Basal,2
train,AR-A24K,LumB,1
train,AR-A24M,LumA,0
train,AR-A24N,LumB,1
train,AR-A24O,LumA,0
train,AR-A24P,LumA,0
train,AR-A24Q,Basal,2
train,AR-A24S,LumB,1
train,AR-A24T,LumA,0
train,AR-A24U,Her2,3
train,AR-A24V,LumA,0
train,AR-A24W,LumA,0
train,AR-A24X,LumA,0
train,AR-A24Z,LumB,1
train,AR-A250,LumB,1
train,AR-A251,Basal,2
train,AR-A252,LumA,0
train,AR-A256,Basal,2
train,AR-A2LE,LumA,0
train,AR-A2LL,LumB,1
train,AR-A2LM,LumA,0
train,AR-A2LR,Basal,2
train,B6-A0I9,Her2,3
train,B6-A0IJ,Basal,2
train,B6-A0IK,Her2,3
train,B6-A0IQ,Basal,2
train,B6-A0RG,LumA,0
train,B6-A0RM,LumA,0
train,B6-A0RN,LumA,0
train,B6-A0RP,LumA,0
train,B6-A0RT,Basal,2
train,B6-A0RV,LumA,0
train,B6-A0WX,Basal,2
train,B6-A0X0,LumA,0
train,B6-A2IU,LumA,0
train,BH-A0AU,LumB,1
train,BH-A0AV,Basal,2
train,BH-A0AZ,LumA,0
train,BH-A0B0,LumA,0
train,BH-A0B3,Basal,2
train,BH-A0B4,LumA,0
train,BH-A0B7,Her2,3
train,BH-A0BF,LumB,1
train,BH-A0BM,LumA,0
train,BH-A0BR,LumA,0
train,BH-A0BT,LumA,0
train,BH-A0DI,LumA,0
train,BH-A0DL,Basal,2
train,BH-A0DP,LumA,0
train,BH-A0DS,LumA,0
train,BH-A0DT,LumA,0
train,BH-A0DV,LumA,0
train,BH-A0E0,Basal,2
train,BH-A0E7,LumA,0
train,BH-A0EB,LumA,0
train,BH-A0H6,LumA,0
train,BH-A0H7,LumA,0
train,BH-A0HA,LumA,0
