fold,cv_role,label_id,label,n_samples
1,train,0,LumA,168
1,train,1,LumB,67
1,train,2,Basal,76
1,train,3,Her2,36
1,val,0,LumA,43
1,val,1,LumB,16
1,val,2,Basal,19
1,val,3,Her2,9
2,train,0,LumA,169
2,train,1,LumB,66
2,train,2,Basal,76
2,train,3,Her2,36
2,val,0,LumA,42
2,val,1,LumB,17
2,val,2,Basal,19
2,val,3,Her2,9
3,train,0,LumA,169
3,train,1,LumB,66
3,train,2,Basal,76
3,train,3,Her2,36
3,val,0,LumA,42
3,val,1,LumB,17
3,val,2,Basal,19
3,val,3,Her2,9
4,train,0,LumA,169
4,train,1,LumB,66
4,train,2,Basal,76
4,train,3,Her2,36
4,val,0,LumA,42
4,val,1,LumB,17
4,val,2,Basal,19
4,val,3,Her2,9
5,train,0,LumA,169
5,train,1,LumB,67
5,train,2,Basal,76
5,train,3,Her2,36
5,val,0,LumA,42
5,val,1,LumB,16
5,val,2,Basal,19
5,val,3,Her2,9
