split,sample_id,label,label_id
train,MOGONET_BRCA_TR_0001,HER2-enriched,2
train,MOGONET_BRCA_TR_0002,Luminal B,4
train,MOGONET_BRCA_TR_0003,Normal-like,0
train,MOGONET_BRCA_TR_0004,Luminal A,3
train,MOGONET_BRCA_TR_0007,Luminal A,3
train,MOGONET_BRCA_TR_0008,Basal-like,1
train,MOGONET_BRCA_TR_0009,Basal-like,1
train,MOGONET_BRCA_TR_0010,Luminal A,3
train,MOGONET_BRCA_TR_0011,Basal-like,1
train,MOGONET_BRCA_TR_0012,Luminal A,3
train,MOGONET_BRCA_TR_0015,Luminal A,3
train,MOGONET_BRCA_TR_0017,Luminal A,3
train,MOGONET_BRCA_TR_0018,HER2-enriched,2
train,MOGONET_BRCA_TR_0019,Luminal A,3
train,MOGONET_BRCA_TR_0020,Luminal B,4
train,MOGONET_BRCA_TR_0021,Normal-like,0
train,MOGONET_BRCA_TR_0022,Basal-like,1
train,MOGONET_BRCA_TR_0024,Luminal B,4
train,MOGONET_BRCA_TR_0025,Normal-like,0
train,MOGONET_BRCA_TR_0026,Luminal B,4
train,MOGONET_BRCA_TR_0027,Luminal A,3
train,MOGONET_BRCA_TR_0028,Luminal B,4
train,MOGONET_BRCA_TR_0029,Luminal B,4
train,MOGONET_BRCA_TR_0030,Normal-like,0
train,MOGONET_BRCA_TR_0031,Normal-like,0
train,MOGONET_BRCA_TR_0032,Basal-like,1
train,MOGONET_BRCA_TR_0034,Luminal A,3
train,MOGONET_BRCA_TR_0035,Normal-like,0
train,MOGONET_BRCA_TR_0036,Luminal A,3
train,MOGONET_BRCA_TR_0038,Luminal B,4
train,MOGONET_BRCA_TR_0039,Normal-like,0
train,MOGONET_BRCA_TR_0040,Luminal A,3
train,MOGONET_BRCA_TR_0042,Luminal B,4
train,MOGONET_BRCA_TR_0043,Luminal A,3
train,MOGONET_BRCA_TR_0044,Luminal A,3
train,MOGONET_BRCA_TR_0045,HER2-enriched,2
train,MOGONET_BRCA_TR_0046,Luminal A,3
train,MOGONET_BRCA_TR_0047,Normal-like,0
train,MOGONET_BRCA_TR_0048,HER2-enriched,2
train,MOGONET_BRCA_TR_0049,Luminal A,3
train,MOGONET_BRCA_TR_0051,Luminal A,3
train,MOGONET_BRCA_TR_0052,Luminal A,3
train,MOGONET_BRCA_TR_0053,Basal-like,1
train,MOGONET_BRCA_TR_0055,Luminal A,3
train,MOGONET_BRCA_TR_0056,Basal-like,1
train,MOGONET_BRCA_TR_0057,Basal-like,1
train,MOGONET_BRCA_TR_0058,Luminal B,4
train,MOGONET_BRCA_TR_0059,Luminal A,3
train,MOGONET_BRCA_TR_0060,Luminal A,3
train,MOGONET_BRCA_TR_0062,Luminal B,4
train,MOGONET_BRCA_TR_0063,Luminal A,3
train,MOGONET_BRCA_TR_0064,Luminal B,4
train,MOGONET_BRCA_TR_0065,Luminal A,3
train,MOGONET_BRCA_TR_0066,HER2-enriched,2
train,MOGONET_BRCA_TR_0067,Luminal A,3
train,MOGONET_BRCA_TR_0068,Luminal A,3
train,MOGONET_BRCA_TR_0069,Luminal A,3
train,MOGONET_BRCA_TR_0070,Luminal A,3
train,MOGONET_BRCA_TR_0071,Luminal A,3
train,MOGONET_BRCA_TR_0072,Luminal A,3
train,MOGONET_BRCA_TR_0073,Basal-like,1
train,MOGONET_BRCA_TR_0074,Normal-like,0
train,MOGONET_BRCA_TR_0075,HER2-enriched,2
train,MOGONET_BRCA_TR_0076,Luminal A,3
train,MOGONET_BRCA_TR_0077,Luminal A,3
train,MOGONET_BRCA_TR_0078,Luminal A,3
train,MOGONET_BRCA_TR_0079,Luminal A,3
train,MOGONET_BRCA_TR_0080,Luminal A,3
train,MOGONET_BRCA_TR_0081,Luminal B,4
train,MOGONET_BRCA_TR_0082,Luminal A,3
train,MOGONET_BRCA_TR_0084,Luminal A,3
train,MOGONET_BRCA_TR_0086,Luminal B,4
train,MOGONET_BRCA_TR_0087,Luminal A,3
train,MOGONET_BRCA_TR_0088,Luminal A,3
train,MOGONET_BRCA_TR_0089,Luminal A,3
train,MOGONET_BRCA_TR_0090,HER2-enriched,2
train,MOGONET_BRCA_TR_0091,Luminal A,3
train,MOGONET_BRCA_TR_0092,Luminal B,4
train,MOGONET_BRCA_TR_0093,Luminal A,3
train,MOGONET_BRCA_TR_0094,Luminal A,3
train,MOGONET_BRCA_TR_0095,Luminal A,3
train,MOGONET_BRCA_TR_0096,Luminal A,3
train,MOGONET_BRCA_TR_0097,Luminal A,3
train,MOGONET_BRCA_TR_0099,Luminal A,3
train,MOGONET_BRCA_TR_0100,Luminal B,4
train,MOGONET_BRCA_TR_0101,Luminal A,3
train,MOGONET_BRCA_TR_0102,Luminal A,3
train,MOGONET_BRCA_TR_0103,Luminal A,3
train,MOGONET_BRCA_TR_0104,Basal-like,1
train,MOGONET_BRCA_TR_0105,Normal-like,0
train,MOGONET_BRCA_TR_0106,Basal-like,1
train,MOGONET_BRCA_TR_0107,Normal-like,0
train,MOGONET_BRCA_TR_0108,Luminal B,4
train,MOGONET_BRCA_TR_0111,Basal-like,1
train,MOGONET_BRCA_TR_0112,Normal-like,0
train,MOGONET_BRCA_TR_0113,Luminal A,3
train,MOGONET_BRCA_TR_0114,Basal-like,1
train,MOGONET_BRCA_TR_0115,Luminal B,4
train,MOGONET_BRCA_TR_0116,Luminal A,3
train,MOGONET_BRCA_TR_0117,Luminal A,3
train,MOGONET_BRCA_TR_0118,HER2-enriched,2
train,MOGONET_BRCA_TR_0119,Basal-like,1
train,MOGONET_BRCA_TR_0120,Luminal A,3
train,MOGONET_BRCA_TR_0121,HER2-enriched,2
train,MOGONET_BRCA_TR_0122,Luminal A,3
train,MOGONET_BRCA_TR_0126,Luminal A,3
train,MOGONET_BRCA_TR_0127,Luminal A,3
train,MOGONET_BRCA_TR_0128,Basal-like,1
train,MOGONET_BRCA_TR_0129,Basal-like,1
train,MOGONET_BRCA_TR_0130,Basal-like,1
train,MOGONET_BRCA_TR_0131,Basal-like,1
train,MOGONET_BRCA_TR_0132,Luminal B,4
train,MOGONET_BRCA_TR_0133,Luminal A,3
train,MOGONET_BRCA_TR_0135,Luminal A,3
train,MOGONET_BRCA_TR_0137,Luminal A,3
train,MOGONET_BRCA_TR_0138,Luminal A,3
train,MOGONET_BRCA_TR_0139,Luminal B,4
train,MOGONET_BRCA_TR_0140,Luminal A,3
train,MOGONET_BRCA_TR_0141,Luminal A,3
train,MOGONET_BRCA_TR_0142,Luminal B,4
train,MOGONET_BRCA_TR_0143,Luminal A,3
train,MOGONET_BRCA_TR_0144,Normal-like,0
train,MOGONET_BRCA_TR_0145,Luminal A,3
train,MOGONET_BRCA_TR_0146,Luminal B,4
train,MOGONET_BRCA_TR_0147,Basal-like,1
train,MOGONET_BRCA_TR_0148,Luminal A,3
train,MOGONET_BRCA_TR_0149,Normal-like,0
train,MOGONET_BRCA_TR_0150,Basal-like,1
train,MOGONET_BRCA_TR_0151,Luminal A,3
train,MOGONET_BRCA_TR_0152,Normal-like,0
train,MOGONET_BRCA_TR_0153,Luminal A,3
train,MOGONET_BRCA_TR_0154,Basal-like,1
train,MOGONET_BRCA_TR_0155,Normal-like,0
train,MOGONET_BRCA_TR_0156,Luminal A,3
train,MOGONET_BRCA_TR_0158,Luminal A,3
train,MOGONET_BRCA_TR_0160,Normal-like,0
train,MOGONET_BRCA_TR_0161,HER2-enriched,2
train,MOGONET_BRCA_TR_0162,Luminal B,4
train,MOGONET_BRCA_TR_0163,Luminal A,3
train,MOGONET_BRCA_TR_0165,Luminal A,3
train,MOGONET_BRCA_TR_0166,Luminal A,3
train,MOGONET_BRCA_TR_0167,Basal-like,1
train,MOGONET_BRCA_TR_0168,Basal-like,1
train,MOGONET_BRCA_TR_0169,Luminal A,3
train,MOGONET_BRCA_TR_0170,Basal-like,1
train,MOGONET_BRCA_TR_0171,Luminal A,3
train,MOGONET_BRCA_TR_0172,Luminal A,3
train,MOGONET_BRCA_TR_0173,Luminal A,3
train,MOGONET_BRCA_TR_0174,Luminal A,3
