dataset,method_family,selector,k,model,n_original_features,n_selected_features,feature_reduction_pct,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1
cancersd_stad,Filter,anova_f,200,logistic_regression,4089,200,95.10882856444118,0.8534108937070333,0.0382439225081978,0.8544544562611893,0.0410660795446872,0.8557131359094647,0.0359338982056444,0.8181818181818182,0.8346774193548387,0.794735118316548,0.8272341692533293
cancersd_stad,Filter,mutual_info,200,logistic_regression,4089,200,95.10882856444118,0.8469592808038076,0.0439730415614615,0.8523180840236254,0.0395072976601413,0.8497152844701009,0.0420568570922451,0.8363636363636363,0.842741935483871,0.8063131313131313,0.8427731864095501
cancersd_stad,Filter,variance_top_k,500,logistic_regression,4089,500,87.77207141110296,0.8437334743521946,0.0132390140318561,0.8460199399346058,0.0210219831718975,0.8454076452906596,0.0133648352609639,0.8363636363636363,0.842741935483871,0.8377002288329519,0.8437819846057832
mogcn_brca,Filter,anova_f,200,logistic_regression,19454,200,98.97193379253623,0.9170809943865276,0.0261076792809303,0.9057534219954312,0.0326983188101213,0.9177759934421988,0.0265236619857294,0.935064935064935,0.9364864864864864,0.9286771558576832,0.934327335950054
mogcn_brca,Filter,mutual_info,100,logistic_regression,19454,100,99.48596689626812,0.9239508152900294,0.043492655237738,0.911258915985646,0.0568099282727382,0.9230518266165844,0.0462052285323673,0.9090909090909092,0.8984797297297298,0.8951750994255413,0.9101124240319998
mogcn_brca,Filter,variance_top_k,500,random_forest,19454,500,97.42983448134059,0.898609997326918,0.015042352194807,0.8876595349130134,0.0241315388898231,0.8995384967482429,0.014897403492727,0.8961038961038961,0.8738639374668786,0.8749983246887272,0.8952953952350841
mogonet_brca_optional,Filter,anova_f,500,random_forest,1000,500,50.0,0.7500466480074637,0.0213755248616282,0.7272490305759807,0.0242958031452093,0.7577053535077697,0.018299427280046,0.8098859315589354,0.7474005129730321,0.749741559599793,0.8069529139599753
mogonet_brca_optional,Filter,mutual_info,500,random_forest,1000,500,50.0,0.7581767293082767,0.0268274424995159,0.7247026473014385,0.023332769401352,0.7639586576492613,0.0278444749129145,0.8060836501901141,0.7428550584275776,0.7465797309206035,0.8031846695520144
mogonet_brca_optional,Filter,variance_top_k,200,random_forest,1000,200,80.0,0.7663734506197522,0.0294438161698064,0.7329035194500599,0.0349429043417633,0.7743883681086835,0.0289919055422589,0.8250950570342205,0.7714264869990062,0.7733272807691411,0.8278409189984043
cancersd_stad,Wrapper,rfe_linear_svm,100,logistic_regression,4089,100,97.55441428222059,0.8631940772078266,0.024796561345243,0.8673119584308843,0.0250636331112745,0.8657471854305759,0.0237783975973869,0.7818181818181819,0.8016129032258064,0.7681742462102281,0.7908560871079612
cancersd_stad,Wrapper,rfe_logistic,100,logistic_regression,4089,100,97.55441428222059,0.8731359069275516,0.0256208049692833,0.8787276252358922,0.032366108943889,0.8738396808279137,0.0262959698125886,0.8181818181818182,0.8346774193548387,0.7868381598674348,0.827292956392617
mogcn_brca,Wrapper,rfe_linear_svm,100,random_forest,19454,100,99.48596689626812,0.9263298583266506,0.0236810028224734,0.9119170991275508,0.0240666147464492,0.9279027826692908,0.0235626227646288,0.935064935064935,0.9463963963963964,0.9310826481130086,0.9357727450706578
mogcn_brca,Wrapper,rfe_logistic,200,random_forest,19454,200,98.97193379253623,0.9217321571772252,0.0296081699758994,0.9100137925376242,0.0362223653044987,0.9233596959244664,0.028846966021257,0.935064935064935,0.9238639374668788,0.9196502698215028,0.936224682333026
mogonet_brca_optional,Wrapper,rfe_linear_svm,100,gaussian_nb,1000,100,90.0,0.7305077968812475,0.0411095684870624,0.7228888858898499,0.04106132073248,0.7437484642951865,0.0367512042634414,0.8326996197718631,0.8544363016118741,0.8178619345818025,0.8429257087191969
mogonet_brca_optional,Wrapper,rfe_logistic,200,gaussian_nb,1000,200,80.0,0.7353591896574703,0.0410527725361822,0.7275186614549743,0.0378070483900993,0.7481599234725385,0.0407567206164412,0.8326996197718631,0.8562862074312456,0.8268900756741582,0.8428823159245054
cancersd_stad,Embedded,extra_trees_importance,500,logistic_regression,4089,500,87.77207141110296,0.8502379693283977,0.0286898039666281,0.8437585902541146,0.0398692952954598,0.8485660337113528,0.0313106965589629,0.7818181818181819,0.8185483870967742,0.7728174603174603,0.7923520923520924
cancersd_stad,Embedded,l1_logistic,200,logistic_regression,4089,200,95.10882856444118,0.8697514542570068,0.0565540331913915,0.8715658549664859,0.0617446438816433,0.8713337368436118,0.0548952080206581,0.8181818181818182,0.8346774193548387,0.8199712643678161,0.8295715778474398
cancersd_stad,Embedded,random_forest_importance,200,linear_svm,4089,200,95.10882856444118,0.8664727657324167,0.0133232392251127,0.8651774429436834,0.020236281746176,0.8666716967807998,0.0138536253776349,0.8363636363636363,0.8258064516129033,0.7833333333333334,0.8387878787878787
mogcn_brca,Embedded,extra_trees_importance,500,logistic_regression,19454,500,97.42983448134059,0.9309008286554395,0.02141637583422,0.9250118185130078,0.0283397679761766,0.9313269333633144,0.0224384468344683,0.9090909090909092,0.9031531531531533,0.8907407407407407,0.905916305916306
mogcn_brca,Embedded,l1_logistic,500,random_forest,19454,500,97.42983448134059,0.926249665864742,0.0341473024894007,0.919434575669305,0.0436753050572205,0.9272581585063956,0.0337516120621242,0.935064935064935,0.9318130630630632,0.920307831839522,0.9371934083841892
mogcn_brca,Embedded,random_forest_importance,500,random_forest,19454,500,97.42983448134059,0.9285752472600908,0.0170254554197625,0.9142408842940388,0.0329800251441419,0.9292578705354944,0.0172500782458565,0.935064935064935,0.9318130630630632,0.920307831839522,0.9371934083841892
mogonet_brca_optional,Embedded,extra_trees_importance,500,random_forest,1000,500,50.0,0.7582033853125416,0.0191070170704027,0.7294867790638361,0.0223420750737303,0.7659297368152987,0.0178489145862533,0.8174904942965779,0.7715880811300659,0.7742683215939735,0.8173390597228527
mogonet_brca_optional,Embedded,l1_logistic,200,gaussian_nb,1000,200,80.0,0.7353858456617353,0.0493602878366123,0.7251155248174898,0.0383212438810168,0.748645608407612,0.0476291705115979,0.8098859315589354,0.8283294313828664,0.7974036352918341,0.8203505161207733
mogonet_brca_optional,Embedded,random_forest_importance,50,gaussian_nb,1000,50,95.0,0.7255897640943623,0.0394130567226848,0.728649324071802,0.0360309239415631,0.7369540733062935,0.0348511234044,0.8136882129277566,0.8353108723337732,0.8013068757171121,0.8232375293044285
