Rank,Feature,RFE Importance,Prefilter ANOVA Score
1,SLC14A1,0.237799,16.957165
2,CRABP2,0.235444,18.249296
3,SPATA18,0.225581,22.988781
4,PROC,0.220115,31.207773
5,RPL22L1,0.21992,71.650971
6,GXYLT2,0.21418,13.347538
7,DIRAS3,0.211547,13.874597
8,CRAT,0.209385,32.327991
9,SLC22A3,0.207981,32.061516
10,HSPA1B,0.207534,16.422404
11,MADCAM1,0.201896,23.640438
12,PCLO,0.198146,30.895437
13,SYNE4,0.194891,21.01789
14,MFSD6L,0.194503,13.68146
15,RNF208,0.194086,26.20558
16,PTPRT,0.19307,13.927633
17,ZIC2,0.192242,18.901661
18,GLB1L2,0.191398,14.352084
19,FUT6,0.189894,21.265685
20,EPDR1,0.189574,15.349464
