dataset,experiment_group,method_family,selector,k,model,n_original_features,n_selected_features,feature_reduction_pct,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1
cancersd_stad,Classical Wrapper,Wrapper,rfe_logistic,100,logistic_regression,4089,100,97.55441428222059,0.8731359069275516,0.0256208049692833,0.8787276252358922,0.032366108943889,0.8181818181818182,0.8346774193548387,0.7868381598674348,0.827292956392617
cancersd_stad,Classical Embedded,Embedded,l1_logistic,200,logistic_regression,4089,200,95.10882856444118,0.8697514542570068,0.0565540331913915,0.8715658549664859,0.0617446438816433,0.8181818181818182,0.8346774193548387,0.8199712643678161,0.8295715778474398
cancersd_stad,Classical Filter,Filter,anova_f,200,logistic_regression,4089,200,95.10882856444118,0.8534108937070333,0.0382439225081978,0.8544544562611893,0.0410660795446872,0.8181818181818182,0.8346774193548387,0.794735118316548,0.8272341692533293
cancersd_stad,Classical baseline,Baseline,none,4089,random_forest,4089,4089,0.0,0.8241671073506082,0.0387124225662426,0.819706090296721,0.0210951895660526,0.8181818181818182,0.8177419354838711,0.7874202209035238,0.8251602633792449
cancersd_stad,MLP best,Embedded,l1_logistic,200,mlp,4089,200,95.10882856444118,0.8077736647276573,0.0215620127317558,0.7984760950231999,0.0329838835563629,0.8363636363636363,0.8258064516129033,0.8223653395784543,0.8395145837768789
mogcn_brca,Classical Embedded,Embedded,extra_trees_importance,500,logistic_regression,19454,500,97.42983448134059,0.9309008286554395,0.02141637583422,0.9250118185130078,0.0283397679761766,0.9090909090909092,0.9031531531531533,0.8907407407407407,0.905916305916306
mogcn_brca,Classical Wrapper,Wrapper,rfe_linear_svm,100,random_forest,19454,100,99.48596689626812,0.9263298583266506,0.0236810028224734,0.9119170991275508,0.0240666147464492,0.935064935064935,0.9463963963963964,0.9310826481130086,0.9357727450706578
mogcn_brca,Classical Filter,Filter,mutual_info,100,logistic_regression,19454,100,99.48596689626812,0.9239508152900294,0.043492655237738,0.911258915985646,0.0568099282727382,0.9090909090909092,0.8984797297297298,0.8951750994255413,0.9101124240319998
mogcn_brca,Classical baseline,Baseline,none,19454,random_forest,19454,19454,0.0,0.905533279871692,0.0274239200062907,0.8878155115925315,0.0348255054968119,0.9090909090909092,0.8693130630630631,0.8784188034188034,0.9103674103674104
mogcn_brca,MLP best,Embedded,extra_trees_importance,500,mlp,19454,500,97.42983448134059,0.8893878642074311,0.0435053447169574,0.8716741184253941,0.0523392290563323,0.8831168831168831,0.8896396396396397,0.8651251416211763,0.881859514468434
mogonet_brca_optional,MLP best,Embedded,extra_trees_importance,500,mlp,1000,500,50.0,0.7662668266026922,0.0365236383892735,0.7345862894230077,0.0464330122832596,0.8326996197718631,0.7791552467888346,0.7978698958980649,0.8325904316586049
mogonet_brca_optional,Classical Filter,Filter,variance_top_k,200,random_forest,1000,200,80.0,0.7663734506197522,0.0294438161698064,0.7329035194500599,0.0349429043417633,0.8250950570342205,0.7714264869990062,0.7733272807691411,0.8278409189984043
mogonet_brca_optional,Classical Embedded,Embedded,extra_trees_importance,500,random_forest,1000,500,50.0,0.7582033853125416,0.0191070170704027,0.7294867790638361,0.0223420750737303,0.8174904942965779,0.7715880811300659,0.7742683215939735,0.8173390597228527
mogonet_brca_optional,Classical Wrapper,Wrapper,rfe_logistic,200,gaussian_nb,1000,200,80.0,0.7353591896574703,0.0410527725361822,0.7275186614549743,0.0378070483900993,0.8326996197718631,0.8562862074312456,0.8268900756741582,0.8428823159245054
mogonet_brca_optional,Classical baseline,Baseline,none,1000,random_forest,1000,1000,0.0,0.756550713048114,0.0208883961168955,0.7255435133301139,0.0170094571216313,0.8098859315589354,0.7443817759848295,0.749053144053144,0.8066448750859396
